 "Structural detection of Android malware using embedded call graphs"  $ "Gascon H., Yamaguchi F., Arp D., Rieck K."  $ reviewer2 $ (1,)
 "Supporting content scheduling on situated public displays"  $ "Storz O., Friday A., Davies N."  $ reviewer2 $ (0,)
 "TalkingAndroid: An interactive, multimodal and real-time talking avatar application on mobile phones"  $ "Lin H., Jia J., Wu X., Cai L."  $ reviewer2 $ (1,)
 "Ten recommendations for software engineering in research"  $ "Hastings J., Haug K., Steinbeck C."  $ reviewer1 $ (1,)
 "Texture mapping of 3-D building models using pose estimation of digital photographs"  $ "Tan Y.K.A., Kwoh L.K., Ong S.H."  $ reviewer2 $ (0,)
 "The GIOD project - Globally interconnected object databases"  $ "Bunn J.J., Holtman K., Newman H.B., Wilkinson R.P."  $ reviewer1 $ (1,)
 "The Ruby UCSC API: Accessing the UCSC genome database using Ruby"  $ "Mishima H., Aerts J., Katayama T., Bonnal R.J.P., Yoshiura K.-I."  $ reviewer2 $ (1,)
 "The Semantic Web takes wing: Programming ontologies with Tawny-OWL"  $ "Lord P."  $ reviewer2 $ (0,)
 "The geospatial data quality REST API for primary biodiversity data"  $ "Otegui J., Guralnick R.P."  $ reviewer1 $ (1,)
 "The mobile LBS positioning solution based on NRTK and Windows Mobile"  $ "Liao Z., Duan X., Lu J., Yue X., Liu W., He Q."  $ reviewer2 $ (1,)
 "The new protein topology graph library web server"  $ "Schäfer T., Scheck A., Bruneß D., May P., Koch I."  $ reviewer1 $ (1,)
 "The view-cube: An efficient method of view planning for 3D modelling from range data"  $ "Klein K., Sequeira V."  $ reviewer2 $ (0,)
 "Thorough static analysis of device drivers"  $ "Ball T., Bounimova E., Cook B., Levin V., Lichtenberg J., McGarvey C., Ondrusek B., Rajamani S.K., Ustuner A."  $ reviewer2 $ (1,)
 "Timing characterization of OpenMP4 tasking model"  $ "Serrano M.A., Melani A., Vargas R., Marongiu A., Bertogna M., Quiñones E."  $ reviewer1 $ (1,)
 "Tools for programming human robot interaction"  $ "Diprose J.P."  $ reviewer1 $ (1,)
 "Toward a cloud architecture for medical imagery grid applications: The Acigna-G project"  $ "Benmerar T.Z., Boumghar F.O."  $ reviewer2 $ (0,)
 "Towards a full formal specification of the javacard API"  $ "Meijer H., Poll E."  $ reviewer2 $ (1,)
 "Towards a high-level trusted computing API for android software stack"  $ "Othman A.T., Khan S., Nauman M., Musa S."  $ reviewer2 $ (1,)
 "Towards a visualized code recommendation for APIs enriched with specification mining"  $ "Ghafari M., Heydarnoori A."  $ reviewer1 $ (2,)
 "Towards automated bounded model checking of API implementations"  $ "Neville D., Malton A., Brain M., Kroening D."  $ reviewer2 $ (1,)
 "Towards high performance and usability programming model for heterogeneous HPC platforms"  $ "Lee M., Jo H., Choi D.H."  $ reviewer1 $ (0,)
 "Transparent adaptation of single-user applications for multi-user real-time collaboration"  $ "Sun C., Xia S., Sun D., Chen D., Shen H., Cai W."  $ reviewer1 $ (1,)
 "UML-based model-driven REST API development"  $ "Rossi D."  $ reviewer2 $ (1,)
