 "Connichiwa - A framework for cross-device web applications"  $ "Schreiner M., Rädle R., Jetter H.-C., Reiterer H."  $ reviewer4 $ (1,)

 "Constroid: Data-centric access control for android"  $ "Schreckling D., Posegga J., Hausknecht D."  $ reviewer2 $ (1,)
 "Constroid: Data-centric access control for android"  $ "Schreckling D., Posegga J., Hausknecht D."  $ reviewer4 $ (0,)

 "Construction of a voice-based asynchronous communication system utilizing speech recognition and its potential for EFL learners' speaking ability: A pilot study"  $ "Ono Y., Ishii T., Ohnishi A."  $ reviewer1 $ (1,)
 "Construction of a voice-based asynchronous communication system utilizing speech recognition and its potential for EFL learners' speaking ability: A pilot study"  $ "Ono Y., Ishii T., Ohnishi A."  $ reviewer4 $ (0,)

 "Context-sensitive code completion tool for better API usability"  $ "Asaduzzaman M., Roy C.K., Schneider K.A., Hou D."  $ reviewer1 $ ()
 "Context-sensitive code completion tool for better API usability"  $ "Asaduzzaman M., Roy C.K., Schneider K.A., Hou D."  $ reviewer3 $ (1,)

 "Contributions to visualization algorithm enabling GPU-accelerated image displaying for dual panel high dynamic range LCD display"  $ "Szydzik T., Nunez A., De Paepe L., Albani L."  $ reviewer2 $ (0,)
 "Contributions to visualization algorithm enabling GPU-accelerated image displaying for dual panel high dynamic range LCD display"  $ "Szydzik T., Nunez A., De Paepe L., Albani L."  $ reviewer3 $ (1,)

 "Could We Infer Unordered API Usage Patterns Only Using the Library Source Code?"  $ "Saied M.A., Abdeen H., Benomar O., Sahraoui H."  $ reviewer1 $ (1,)
 "Could We Infer Unordered API Usage Patterns Only Using the Library Source Code?"  $ "Saied M.A., Abdeen H., Benomar O., Sahraoui H."  $ reviewer3 $ ()

 "Creating Java to native code interfaces with Janet"  $ "Bubak M., Kurzyniec D., Luszczek P., Sunderam V."  $ reviewer1 $ (2,)
 "Creating Java to native code interfaces with Janet"  $ "Bubak M., Kurzyniec D., Luszczek P., Sunderam V."  $ reviewer4 $ (0,)

 "CriticAL: A critic for APIs and libraries"  $ "Rupakheti C.R., Hou D."  $ reviewer1 $ (2,)
 "CriticAL: A critic for APIs and libraries"  $ "Rupakheti C.R., Hou D."  $ reviewer4 $ ()

 "Customized mashups for improved reputation visualization"  $ "Spycher N., Portmann E."  $ reviewer1 $ (1,)
 "Customized mashups for improved reputation visualization"  $ "Spycher N., Portmann E."  $ reviewer4 $ (0,)

 "DLS 2015 - Proceedings of the 11th Symposium on Dynamic Languages"  $ "[No author name available]"  $ reviewer2 $ (2,)
 "DLS 2015 - Proceedings of the 11th Symposium on Dynamic Languages"  $ "[No author name available]"  $ reviewer4 $ (0,)

 "DSaaS: A cloud service for persistent data structures"  $ "Le Roux P.B., Kroon S., Bester W."  $ reviewer1 $ (1,)
 "DSaaS: A cloud service for persistent data structures"  $ "Le Roux P.B., Kroon S., Bester W."  $ reviewer4 $ (0,)

 "Deductive verification of parallel programs using why3"  $ "Santos C., Martins F., Vasconcelos V.T."  $ reviewer2 $ (1,)
 "Deductive verification of parallel programs using why3"  $ "Santos C., Martins F., Vasconcelos V.T."  $ reviewer4 $ (0,)

 "Design and implement an interoperable Internet of Things application based on an extended OGC sensorthings API Standard"  $ "Huang C.Y., Wu C.H."  $ reviewer1 $ (1,)
 "Design and implement an interoperable Internet of Things application based on an extended OGC sensorthings API Standard"  $ "Huang C.Y., Wu C.H."  $ reviewer3 $ ()

 "Detecting API usage obstacles: A study of iOS and android developer questions"  $ "Wang W., Godfrey M.W."  $ reviewer1 $ (1,)
 "Detecting API usage obstacles: A study of iOS and android developer questions"  $ "Wang W., Godfrey M.W."  $ reviewer3 $ ()

 "Detecting API usage patterns from software repositories using method categorization"  $ "Akbar R.J., Omori T., Maruyama K."  $ reviewer1 $ (1,)
 "Detecting API usage patterns from software repositories using method categorization"  $ "Akbar R.J., Omori T., Maruyama K."  $ reviewer3 $ ()

 "Detecting similar applications with collaborative tagging"  $ "Thung F., Lo D., Jiang L."  $ reviewer2 $ (1,)
 "Detecting similar applications with collaborative tagging"  $ "Thung F., Lo D., Jiang L."  $ reviewer4 $ (0,)

 "Detection of malicious code in user mode"  $ "Sangeetha R."  $ reviewer2 $ (1,)
 "Detection of malicious code in user mode"  $ "Sangeetha R."  $ reviewer4 $ (0,)

 "Developer-friendly annotation-based HTML-to-XML transformation technology"  $ "Tseng L.C.-H."  $ reviewer1 $ (1,)
 "Developer-friendly annotation-based HTML-to-XML transformation technology"  $ "Tseng L.C.-H."  $ reviewer4 $ (0,)

 "Development and evaluation of different methods to assess download and display time of image web systems"  $ "Pietsch M., Schlaefke A., Vogl T.J., Bergh B."  $ reviewer2 $ (0,)
 "Development and evaluation of different methods to assess download and display time of image web systems"  $ "Pietsch M., Schlaefke A., Vogl T.J., Bergh B."  $ reviewer3 $ (1,)

 "Development of routing application of SCA-based software defined radio"  $ "Jian S., Wei G."  $ reviewer2 $ (0,)
 "Development of routing application of SCA-based software defined radio"  $ "Jian S., Wei G."  $ reviewer3 $ (1,)

 "Distributed dynamic partial order reduction based verification of threaded software"  $ "Yang Y., Chen X., Gopalakrishnan G., Kirby R.M."  $ reviewer2 $ (1,)
 "Distributed dynamic partial order reduction based verification of threaded software"  $ "Yang Y., Chen X., Gopalakrishnan G., Kirby R.M."  $ reviewer4 $ (0,)

 "Distributed tools for interactive design of heterogeneous signal networks"  $ "Malloch J., Sinclair S., Wanderley M.M."  $ reviewer2 $ (1,)
 "Distributed tools for interactive design of heterogeneous signal networks"  $ "Malloch J., Sinclair S., Wanderley M.M."  $ reviewer3 $ (4,)

 "Divide-and-conquer approach for multi-phase statistical migration for source code"  $ "Nguyen A.T., Nguyen T.T., Nguyen T.N."  $ reviewer1 $ (1,)
 "Divide-and-conquer approach for multi-phase statistical migration for source code"  $ "Nguyen A.T., Nguyen T.T., Nguyen T.N."  $ reviewer3 $ ()

 "DroidLogger: Reveal suspicious behavior of Android applications via instrumentation"  $ "Dai S., Wei T., Zou W."  $ reviewer2 $ (1,)
 "DroidLogger: Reveal suspicious behavior of Android applications via instrumentation"  $ "Dai S., Wei T., Zou W."  $ reviewer3 $ ()

 "Dynamically inferring, refining, and checking API usage protocols"  $ "Pradel M."  $ reviewer1 $ (1,)
 "Dynamically inferring, refining, and checking API usage protocols"  $ "Pradel M."  $ reviewer4 $ ()

 "ECO ECO: Changing climate related behaviors for cellphone-based videogames"  $ "Zou Y.R., Mustafa N., Memon N.A., Eid M."  $ reviewer2 $ ()
 "ECO ECO: Changing climate related behaviors for cellphone-based videogames"  $ "Zou Y.R., Mustafa N., Memon N.A., Eid M."  $ reviewer3 $ (1,)

 "Empirical evidence of large-scale diversity in API usage of object-oriented software"  $ "Mendez D., Baudry B., Monperrus M."  $ reviewer1 $ (1,)
 "Empirical evidence of large-scale diversity in API usage of object-oriented software"  $ "Mendez D., Baudry B., Monperrus M."  $ reviewer3 $ ()

 "Empirical study of a vision-based depth-sensitive human-computer interaction system"  $ "Farhadi-Niaki F., GhasemAghaei R., Arya A."  $ reviewer2 $ (1,)
 "Empirical study of a vision-based depth-sensitive human-computer interaction system"  $ "Farhadi-Niaki F., GhasemAghaei R., Arya A."  $ reviewer4 $ (0,)

 "Enhancing access to standardized clinical application for mobile interfaces"  $ "Parashar H.J., Sachdeva S., Batra S."  $ reviewer2 $ (1,)
 "Enhancing access to standardized clinical application for mobile interfaces"  $ "Parashar H.J., Sachdeva S., Batra S."  $ reviewer3 $ (3,)

 "Enpublic apps: Security threats using iOS enterprise and developer certificates"  $ "Zheng M., Xue H., Zhang Y., Wei T., Lui J.C.S."  $ reviewer1 $ (1,)
 "Enpublic apps: Security threats using iOS enterprise and developer certificates"  $ "Zheng M., Xue H., Zhang Y., Wei T., Lui J.C.S."  $ reviewer3 $ (4,)

 "EvalBench: A software library for visualization evaluation"  $ "Aigner W., Hoffmann S., Rind A."  $ reviewer2 $ (1,)
 "EvalBench: A software library for visualization evaluation"  $ "Aigner W., Hoffmann S., Rind A."  $ reviewer3 $ (4,)

 "Evaluating forum discussions to inform the design of an API critic"  $ "Rupakheti C.R., Hou D."  $ reviewer1 $ (2,)
 "Evaluating forum discussions to inform the design of an API critic"  $ "Rupakheti C.R., Hou D."  $ reviewer3 $ ()

 "Evaluating groupware accessibility"  $ "Schoeberlein J.G., Wang Y."  $ reviewer1 $ (1,)
 "Evaluating groupware accessibility"  $ "Schoeberlein J.G., Wang Y."  $ reviewer4 $ (0,)

 "Evaluating the reference and representation of domain concepts in APIs"  $ "Ratiu D., Jürjens J."  $ reviewer2 $ ()
 "Evaluating the reference and representation of domain concepts in APIs"  $ "Ratiu D., Jürjens J."  $ reviewer4 $ (1,)

 "Evaluation and Usability of Programming Languages and Tools, PLATEAU'10"  $ "[No author name available]"  $ reviewer2 $ (4,)
